customer_id,age,gender,marital_status,employment_type,annual_income_inr,loan_amount_inr,loan_purpose,loan_term_months,credit_score,num_open_credit_accounts,num_delinquent_accounts,debt_to_income_ratio,past_default,default
CUST100000,59,Male,Single,Salaried,480000,36000,Credit Card,60,787,4,0,0.62,0,1
CUST100001,49,Male,Single,Salaried,350000,441000,Personal Loan,36,664,8,0,0.32,0,0
CUST100002,35,Female,Married,Self-Employed,720000,4041000,Home Loan,240,814,9,1,0.75,0,1
CUST100003,63,Male,Married,Self-Employed,1260000,1033000,Personal Loan,60,722,7,0,0.74,0,1
CUST100004,28,Male,Divorced,Salaried,290000,1241000,Home Loan,12,757,8,0,0.26,0,0
CUST100005,41,Male,Married,Salaried,330000,1920000,Home Loan,240,772,2,0,0.46,0,0
CUST100006,59,Male,Married,Government,790000,903000,Personal Loan,36,738,7,0,0.32,0,0
CUST100007,39,Female,Divorced,Salaried,600000,292000,Education Loan,48,793,4,0,0.65,0,1
CUST100008,43,Male,Married,Self-Employed,260000,144000,Education Loan,60,747,8,1,0.73,0,1
CUST100009,31,Male,Married,Salaried,470000,601000,Personal Loan,240,736,8,1,0.47,0,0
CUST100010,31,Female,Married,Salaried,260000,376000,Car Loan,240,723,2,0,0.32,0,0
CUST100011,44,Female,Married,Salaried,280000,1513000,Home Loan,48,719,9,0,0.55,1,1
CUST100012,56,Male,Married,Self-Employed,470000,264000,Education Loan,36,755,6,0,0.2,0,0
CUST100013,60,Male,Single,Salaried,100000,173000,Car Loan,36,658,5,0,0.46,0,0
CUST100014,44,Male,Married,Salaried,130000,169000,Personal Loan,48,692,9,0,0.63,0,1
CUST100015,23,Female,Single,Salaried,160000,75000,Education Loan,36,725,3,2,0.28,0,1
CUST100016,42,Male,Single,Unemployed,70000,104000,Personal Loan,60,663,5,0,0.37,0,0
CUST100017,22,Male,Married,Unemployed,60000,95000,Personal Loan,48,748,5,1,0.56,0,0
CUST100018,44,Male,Single,Self-Employed,180000,241000,Car Loan,60,689,8,3,0.77,0,1
CUST100019,64,Male,Married,Unemployed,50000,29000,Personal Loan,24,636,9,0,0.16,0,1
CUST100020,50,Female,Divorced,Salaried,860000,649000,Personal Loan,48,669,9,0,0.21,0,0
CUST100021,58,Female,Divorced,Unemployed,80000,74000,Personal Loan,36,748,5,0,0.19,1,1
CUST100022,22,Female,Married,Salaried,229999,98000,Education Loan,48,647,2,0,0.25,0,1
CUST100023,41,Male,Married,Salaried,160000,242000,Personal Loan,48,651,6,0,0.14,0,0
CUST100024,53,Male,Married,Salaried,260000,137000,Personal Loan,48,725,4,0,0.35,0,0
CUST100025,32,Male,Married,Unemployed,90000,147000,Personal Loan,36,634,9,0,0.3,0,1
CUST100026,42,Male,Single,Self-Employed,140000,531000,Home Loan,60,728,8,0,0.24,0,0
CUST100027,64,Male,Married,Self-Employed,450000,434000,Car Loan,48,597,6,0,0.28,1,1
CUST100028,45,Male,Married,Unemployed,80000,367000,Home Loan,36,723,2,1,0.55,0,0
CUST100029,47,Male,Single,Self-Employed,310000,116000,Education Loan,48,695,3,0,0.58,0,0
CUST100030,62,Female,Married,Self-Employed,190000,347000,Car Loan,48,781,2,1,0.75,0,1
CUST100031,48,Female,Married,Salaried,1140000,3712000,Home Loan,12,602,6,0,0.25,0,1
CUST100032,36,Female,Single,Government,270000,1170000,Home Loan,36,667,4,1,0.17,0,0
CUST100033,35,Male,Single,Unemployed,70000,124000,Car Loan,36,725,1,0,0.14,0,0
CUST100034,64,Female,Married,Unemployed,100000,485000,Home Loan,36,697,9,2,0.45,0,1
CUST100035,23,Male,Married,Salaried,110000,48000,Education Loan,36,675,6,2,0.55,0,1
CUST100036,57,Male,Married,Salaried,400000,96000,Credit Card,36,611,2,0,0.27,0,1
